fid	nid	filename	filepath	filemime	filesize
765	108	preview	sites/files/gainesfilm/images/withinourgates.preview.jpg	image/jpeg	57980
764	108	thumbnail	sites/files/gainesfilm/images/withinourgates.thumbnail.jpg	image/jpeg	3659
71	109	_original	sites/files/gainesfilm/images/ebony.jpg	image/jpeg	403296
611	109	preview	sites/files/gainesfilm/images/ebony.preview.jpg	image/jpeg	86110
610	109	thumbnail	sites/files/gainesfilm/images/ebony.thumbnail.jpg	image/jpeg	3671
74	110	_original	sites/files/gainesfilm/images/johnson_gant.jpg	image/jpeg	126392
721	110	preview	sites/files/gainesfilm/images/johnson_gant.preview.jpg	image/jpeg	53964
720	110	thumbnail	sites/files/gainesfilm/images/johnson_gant.thumbnail.jpg	image/jpeg	2971
77	111	_original	sites/files/gainesfilm/images/flyingace.jpg	image/jpeg	200617
763	111	preview	sites/files/gainesfilm/images/flyingace.preview.jpg	image/jpeg	64439
762	111	thumbnail	sites/files/gainesfilm/images/flyingace.thumbnail.jpg	image/jpeg	3394
80	112	_original	sites/files/gainesfilm/images/rex.jpg	image/jpeg	334063
759	112	preview	sites/files/gainesfilm/images/rex.preview.jpg	image/jpeg	64265
758	112	thumbnail	sites/files/gainesfilm/images/rex.thumbnail.jpg	image/jpeg	3571
83	113	_original	sites/files/gainesfilm/images/rex2.jpg	image/jpeg	57122
761	113	preview	sites/files/gainesfilm/images/rex2.preview.jpg	image/jpeg	30088
760	113	thumbnail	sites/files/gainesfilm/images/rex2.thumbnail.jpg	image/jpeg	2090
86	114	_original	sites/files/gainesfilm/images/Gunsaulus Mystery Story.jpg	image/jpeg	316100
615	114	preview	sites/files/gainesfilm/images/Gunsaulus Mystery Story.preview.jpg	image/jpeg	58410
614	114	thumbnail	sites/files/gainesfilm/images/Gunsaulus Mystery Story.thumbnail.jpg	image/jpeg	3238
723	312	thumbnail	sites/files/gainesfilm/images/cinema_16_rashomon_pamphlet1.thumbnail.jpg	image/jpeg	2162
722	312	_original	sites/files/gainesfilm/images/cinema_16_rashomon_pamphlet1.jpg	image/jpeg	932440
96	120	_original	sites/files/gainesfilm/images/vogel-brakhage_letters1.jpg	image/jpeg	1045030
97	120	thumbnail	sites/files/gainesfilm/images/vogel-brakhage_letters1.thumbnail.jpg	image/jpeg	2169
