Node ID,Title,Body,Year,Category,Course,Date,Repository,Collection,Source,Copyright,Production Company,Copyright Notes,Film Title,Director,Photographer,Form/Genre,Location,Physical Description,Notes,Embedded Video: media (field_media)
398,Pat Jackson Select 3,Year:هت2010Collection:هتLumiere Productions  Copyright:هت2010 Copyright Notes:هتLumiere Productions Film Title:هتTo Tell The TruthDirector:هتLumiere Productions  Physical Description:هتWe did try to make people aware of the dangers of a system but god is profit now.  media:هت,2010,,,2010,,Lumiere Productions,,2010,,Lumiere Productions,To Tell The Truth,Lumiere Productions,,,,We did try to make people aware of the dangers of a system but god is profit now.,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_pat_jackson_select_3.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_119&autostart=false&protection=fa63a0d24edb0ff7111416cfc5604a6f49845892""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
349,Spanish Earth Excerpt 1- Town Bombarded,Year:هت1937Collection:هتLumiere Productions  Copyright:هت2008 Copyright Notes:هتEuropean Foundation- Joris Ivens Film Title:هتSpanish EarthDirector:هتJoris Ivens w Ernest Hemingway/John Dos Passos  Physical Description:هتTown bombarded  media:هت,1937,,Documentary Tradition,1937,,Lumiere Productions,,2008,,European Foundation- Joris Ivens,Spanish Earth,Joris Ivens w Ernest Hemingway/John Dos Passos,,,,Town bombarded,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_spanish_earth_1.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_121&autostart=false&protection=f0919e60f14203d40b824bc32ae264336b6fa73a""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
350,Spanish Earth Excerpt 2- The Road Is Won,Year:هت1937Collection:هتLumiere Productions  Copyright:هت2008 Copyright Notes:هتEuropean Foundation- Joris Ivens Film Title:هتSpanish EarthDirector:هتJoris Ivens w Eernest Hemingway/John Dos Passos  Physical Description:هتThe Road is Won  media:هت,1937,,Documentary Tradition,1937,,Lumiere Productions,,2008,,European Foundation- Joris Ivens,Spanish Earth,Joris Ivens w Eernest Hemingway/John Dos Passos,,,,The Road is Won,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_spanish_earth_2.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_123&autostart=false&protection=ad0d9792c90c6772a232a0ba5a2387ecd4e37f25""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
473,Strike,Year:هت1912,1912,,Historiography,1912,,,,,,,,,,,,,,
94,The Blair Witch Project,Year:هت1999 Film Title:هتThe Blair Witch ProjectDirector:هتDaniel Myrick  media:هت,1999,,Documentary Tradition,1999,,,,,,,The Blair Witch Project,Daniel Myrick,,,,,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/soa_gaines_fall2010_blair_witch_project.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_125&autostart=false&protection=2104ff65ab39206e6e62e43c523e699f6ab2ae91""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
351,The City Excerpt 1- Progress is Choking Us,Year:هت1938Collection:هتLumiere Productions  Copyright:هت1938 Copyright Notes:هتNaxos Righta International  Film Title:هتThe CityDirector:هتWillard Van Dyke; Ralph Steiner; Aaron Copeland  Physical Description:هتProgress Is Choking Us  media:هت,1938,Documentary Tradition,Documentary Tradition,1938,,Lumiere Productions,,1938,,Naxos Righta International,The City,Willard Van Dyke; Ralph Steiner; Aaron Copeland,,,,Progress Is Choking Us,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_city_excerpt_1.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_127&autostart=false&protection=8938b4dcf91706119438cd0dc5417f1782c15036""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
352,The City Excerpt 2- Eateries,Year:هت1938Collection:هتLumiere Productions  Copyright:هت2009 Copyright Notes:هتNaxos Righta International Film Title:هتThe CityDirector:هتWillard Van Dyke; Ralph Steiner; Aaron Copeland  Physical Description:هتEateries  media:هت,1938,Documentary Tradition,Documentary Tradition,1938,,Lumiere Productions,,2009,,Naxos Righta International,The City,Willard Van Dyke; Ralph Steiner; Aaron Copeland,,,,Eateries,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_city_excerpt_2.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_129&autostart=false&protection=cf4dedb2e4d9fff24bd9c1ebb98a5d097d5d71d6""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
353,The City Excerpt 3- Traffic,Year:هت1938Collection:هتLumiere Productions  Copyright:هت2009 Copyright Notes:هتNaxos Rights International Film Title:هتThe CityDirector:هتWillard Van Dyke; Ralph Steiner; Aaron Copeland  Physical Description:هتTraffic  media:هت,1938,Documentary Tradition,Documentary Tradition,1938,,Lumiere Productions,,2009,,Naxos Rights International,The City,Willard Van Dyke; Ralph Steiner; Aaron Copeland,,,,Traffic,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_city_excerpt_3.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_131&autostart=false&protection=53d530df334d708890faac97d59c9f4f9371d01a""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
354,The City Excerpt 4- Suburban Dreams,Year:هت1938Collection:هتLumiere Productions  Copyright:هت2009 Copyright Notes:هتNaxos Rights International Director:هتWillard Van Dyke; Ralph Steiner; Aaron Copeland  Physical Description:هتSuburban Dreams  media:هت,1938,Documentary Tradition,Documentary Tradition,1938,,Lumiere Productions,,2009,,Naxos Rights International,,Willard Van Dyke; Ralph Steiner; Aaron Copeland,,,,Suburban Dreams,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_city_excerpt_4.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_133&autostart=false&protection=6ec0bb5e3a3c6db2b7c3d29275c3b7ee1673726f""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
355,The Land Excerpt 1- Arizona; migrants; boy,Year:هت1942Collection:هتLumiere Productions  Copyright:هت2003 Copyright Notes:هتInternational Film Seminars Film Title:هتThe LandDirector:هتRobert Flaherty; Francis Flaherty  Physical Description:هتArizona; Migrants; Boy  media:هت,1942,Documentary Tradition,Documentary Tradition,1942,,Lumiere Productions,,2003,,International Film Seminars,The Land,Robert Flaherty; Francis Flaherty,,,,Arizona; Migrants; Boy,,"   Embed Code:   <script type=text/javascript"" src=""http://ccnmtl.columbia.edu/stream/jsembed?player=v4&file=secure/courses/film_gaines_fall2010_the_land_excerpt_1.flv&width=480&height=360&poster=http://ccnmtl.columbia.edu/broadcast/posters/vidthumb_480x360.jpg&id=field_media_video_135&autostart=false&protection=97ac7665778b8123e67443b4df0d3417369b01e5""></script>  To embed this video on your own site  simply copy and paste the html code from this text area.      """
